ID,Group,Task,Distance,Trial_ID,Start,End,CorrectDJ,Session,Trial,DJ,DJ_Duration,Navi_Duration,side1,side2,session_start,initial_position,DC_start,DJ_start,DJ_end,navi_start,navi_end,fixation,ini_start_T,DC_start_T,DJ_start_T,rev_start_T,navi_start_T,navi_end_T
MOP001,Old,SP,Near,8,肯德基,爭鮮,8,8,1,13,2.617,19.5,(G)肯德基,(H)爭鮮,03:18.6,03:18.6,03:20.6,03:24.6,03:27.2,03:29.3,03:48.8,-0.5,0,2.013,6.029,8.646,10.728,10.982
MOP001,Old,SP,Moderate,16,寶雅,全國電子,14,8,2,7,3.218,10.75,(A)全國電子,(F)寶雅,03:18.6,03:51.5,03:53.5,03:57.6,04:00.8,04:02.8,04:13.6,32.432,32.932,34.947,38.961,42.179,44.216,44.483
MOP001,Old,SP,Near,4,星巴克,寶雅,6,8,3,13,1.934,9.75,(D)星巴克,(F)寶雅,03:18.6,04:16.3,04:18.3,04:22.3,04:24.2,04:26.3,04:36.1,57.179,57.679,59.695,63.712,65.646,67.728,67.966
MOP001,Old,SP,Moderate,17,麥當勞,肯德基,14,8,4,12,4.787,46,(B)麥當勞,(G)肯德基,03:18.6,04:38.8,04:40.8,04:44.8,04:49.6,04:51.8,05:37.8,79.682,80.182,82.198,86.212,90.999,93.232,93.482
MOP001,Old,SP,Far,21,全國電子,星巴克,16,8,5,13,3.318,14.5,(A)全國電子,(D)星巴克,03:18.6,05:40.5,05:42.5,05:46.5,05:49.9,05:52.1,06:06.6,141.418,141.918,143.929,147.945,151.263,153.481,153.732
MOP001,Old,SP,Far,26,誠品,台灣彩券,22,8,6,13,2,19,(C)誠品,(E)台灣彩券,03:18.6,06:09.3,06:11.3,06:15.3,06:17.3,06:19.3,06:38.3,170.167,170.667,172.68,176.699,178.699,180.733,180.984
MOP001,Old,SP,Near,9,台灣彩券,全國電子,9,8,7,11,1.789,15.75,(A)全國電子,(E)台灣彩券,03:18.6,06:41.0,06:43.0,06:47.1,06:48.8,06:51.1,07:06.8,201.93,202.43,204.447,208.463,210.252,212.48,212.716
MOP002,Old,SP,Near,1,台灣彩券,寶雅,5,1,1,6,8.016,16.5,(E)台灣彩券,(F)寶雅,20:53.0,20:53.0,20:55.0,20:59.1,21:07.1,21:09.1,21:25.6,-0.5,0,2.001,6.033,14.049,16.066,16.313
MOP002,Old,SP,Near,7,爭鮮,麥當勞,8,1,2,12,5.866,44.75,(B)麥當勞,(H)爭鮮,20:53.0,21:28.3,21:30.3,21:34.3,21:40.2,21:42.4,22:27.1,34.763,35.263,37.281,41.302,47.168,49.314,49.568
MOP002,Old,SP,Far,24,肯德基,全國電子,20,1,3,15,3.834,90,(A)全國電子,(G)肯德基,20:53.0,22:29.8,22:31.8,22:35.9,22:39.7,22:41.9,24:11.9,96.28,96.78,98.8,102.831,106.665,108.814,109.068
